---,SideL_Tag,SideR_Tag,Ground_Tag,Side,BR,BL,B,L,R,OccupiedCells,Exits,RailClassRef,Diff_Base
BP_Straight_F_HoleInRail_X1_Y1_Z1_Rail,Side,Side,RailHole,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/HoleInRail/Straight_F_HoleInRail_X1_Y1_Z1/Proxy/SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B.SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_L.SM_Straight_F_X1_Y1_Z1_Proxy_L',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_R.SM_Straight_F_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/HoleInRail/Straight_F_HoleInRail_X1_Y1_Z1/BP_Straight_F_HoleInRail_X1_Y1_Z1_Rail.BP_Straight_F_HoleInRail_X1_Y1_Z1_Rail_C',3
BP_Straight_F_Borderless_X1_Y1_Z1_Rail,None,None,GroundLine,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless/Straight_F_Borderless_X1_Y1_Z1/BP_Straight_F_Borderless_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_X1_Y1_Z1_Rail_C',3
BP_Straight_F_Borderless_Caved_X1_Y1_Z1_Rail,None,None,GroundLine_Caved,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/Proxy/SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BR.SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BR',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/Proxy/SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BL.SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BL',None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=2.000000),S180=(Enable=True,Difficulty=2.000000),S270=(Enable=True,Difficulty=2.000000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/BP_Straight_F_Borderless_Caved_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_Caved_X1_Y1_Z1_Rail_C',1
BP_Straight_F_Borderless_HoleInRail_X1_Y1_Z1_Rail,None,None,RailHole,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/HoleInRail/Straight_F_HoleInRail_X1_Y1_Z1/Proxy/SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B.SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=2.000000),S180=(Enable=True,Difficulty=2.000000),S270=(Enable=True,Difficulty=2.000000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_HoleInRail/Straight_F_Borderless_HoleInRail_X1_Y1_Z1/BP_Straight_F_Borderless_HoleInRail_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_HoleInRail_X1_Y1_Z1_Rail_C',6
BP_Straight_F_Borderless_L_X1_Y1_Z1_Rail,None,Side,GroundLine,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_R.SM_Straight_F_X1_Y1_Z1_Proxy_R',None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_L/Straight_F_Borderless_L_X1_Y1_Z1/BP_Straight_F_Borderless_L_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_L_X1_Y1_Z1_Rail_C',1
BP_Straight_F_Borderless_L_Caved_X1_Y1_Z1_Rail,None,Side,GroundLine_Caved,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/Proxy/SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BR.SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BR',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/Proxy/SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BL.SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BL',None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_R.SM_Straight_F_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=2.000000),S180=(Enable=True,Difficulty=2.000000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_L_Caved/Straight_F_Borderless_L_Caved_X1_Y1_Z1/BP_Straight_F_Borderless_L_Caved_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_L_Caved_X1_Y1_Z1_Rail_C',-1
BP_Straight_F_Borderless_L_HoleInRail_X1_Y1_Z1_Rail,None,Side,RailHole,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/HoleInRail/Straight_F_HoleInRail_X1_Y1_Z1/Proxy/SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B.SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B',None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_R.SM_Straight_F_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=2.000000),S180=(Enable=True,Difficulty=2.000000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_L_HoleInRail/Straight_F_Borderless_L_HoleInRail_X1_Y1_Z1/BP_Straight_F_Borderless_L_HoleInRail_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_L_HoleInRail_X1_Y1_Z1_Rail_C',4
BP_Straight_F_Borderless_R_X1_Y1_Z1_Rail,Side,None,GroundLine,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_L.SM_Straight_F_X1_Y1_Z1_Proxy_L',None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_R/Straight_F_Borderless_R_X1_Y1_Z1/BP_Straight_F_Borderless_R_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_R_X1_Y1_Z1_Rail_C',1
BP_Straight_F_Borderless_R_Caved_X1_Y1_Z1_Rail,Side,None,GroundLine_Caved,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/Proxy/SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BR.SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BR',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Borderless_Caved/Straight_F_Borderless_Caved_X1_Y1_Z1/Proxy/SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BL.SM_Straight_F_Borderless_Caved_X1_Y1_Z1_Proxy_BL',None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_L.SM_Straight_F_X1_Y1_Z1_Proxy_L',None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=2.000000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_R_Caved/Straight_F_Borderless_R_Caved_X1_Y1_Z1/BP_Straight_F_Borderless_R_Caved_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_R_Caved_X1_Y1_Z1_Rail_C',-1
BP_Straight_F_Borderless_R_HoleInRail_X1_Y1_Z1_Rail,Side,None,RailHole,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/HoleInRail/Straight_F_HoleInRail_X1_Y1_Z1/Proxy/SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B.SM_Straight_F_HoleInRail_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_L.SM_Straight_F_X1_Y1_Z1_Proxy_L',None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=2.000000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Borderless_R_HoleInRail/Straight_F_Borderless_R_HoleInRail_X1_Y1_Z1/BP_Straight_F_Borderless_R_HoleInRail_X1_Y1_Z1_Rail.BP_Straight_F_Borderless_R_HoleInRail_X1_Y1_Z1_Rail_C',4
BP_Straight_L90_X1_Y1_Z1_Rail,Side,Side,GroundLine_L,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/L90/Normal/Straight_L90_X1_Y1_Z1/Proxy/SM_Straight_L90_X1_Y1_Z1_Proxy_L.SM_Straight_L90_X1_Y1_Z1_Proxy_L',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/L90/Normal/Straight_L90_X1_Y1_Z1/Proxy/SM_Straight_L90_X1_Y1_Z1_Proxy_R.SM_Straight_L90_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=-1,Z=0),Rotation=(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/L90/Normal/Straight_L90_X1_Y1_Z1/BP_Straight_L90_X1_Y1_Z1_Rail.BP_Straight_L90_X1_Y1_Z1_Rail_C',0
BP_Straight_L90_Borderless_X1_Y1_Z1_Rail,None,None,GroundLine_L,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=-1,Z=0),Rotation=(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,3
BP_Straight_L90_Borderless_I_X1_Y1_Z1_Rail,None,Side,GroundLine_L,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/L90/Normal/Straight_L90_X1_Y1_Z1/Proxy/SM_Straight_L90_X1_Y1_Z1_Proxy_R.SM_Straight_L90_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=-1,Z=0),Rotation=(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/L90/Borderless_I/Straight_L90_Borderless_I_X1_Y1_Z1/BP_Straight_L90_Borderless_I_X1_Y1_Z1_Rail.BP_Straight_L90_Borderless_I_X1_Y1_Z1_Rail_C',0
BP_Straight_L90_Borderless_O_X1_Y1_Z1_Rail,Side,None,GroundLine_L,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/L90/Normal/Straight_L90_X1_Y1_Z1/Proxy/SM_Straight_L90_X1_Y1_Z1_Proxy_L.SM_Straight_L90_X1_Y1_Z1_Proxy_L',None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=-1,Z=0),Rotation=(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/L90/Borderless_O/Straight_L90_Borderless_O_X1_Y1_Z1/BP_Straight_L90_Borderless_O_X1_Y1_Z1_Rail.BP_Straight_L90_Borderless_O_X1_Y1_Z1_Rail_C',3
BP_Straight_R90_X1_Y1_Z1_Rail,Side,Side,GroundLine_R,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/R90/Normal/Straight_R90_X1_Y1_Z1/Proxy/SM_Straight_R90_X1_Y1_Z1_Proxy_L.SM_Straight_R90_X1_Y1_Z1_Proxy_L',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/R90/Normal/Straight_R90_X1_Y1_Z1/Proxy/SM_Straight_R90_X1_Y1_Z1_Proxy_R.SM_Straight_R90_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=1,Z=0),Rotation=(Pitch=0.000000,Yaw=90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/R90/Normal/Straight_R90_X1_Y1_Z1/BP_Straight_R90_X1_Y1_Z1_Rail.BP_Straight_R90_X1_Y1_Z1_Rail_C',0
BP_Straight_R90_Borderless_X1_Y1_Z1_Rail,None,None,GroundLine_R,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=1,Z=0),Rotation=(Pitch=0.000000,Yaw=90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,3
